drug1,drug2,cell,Synergy_Smean
207,529,670,4.323
529,207,670,4.323
599,398,670,0.203
398,599,670,0.203
519,30,670,2.254
30,519,670,2.254
567,322,670,28.3925
322,567,670,28.3925
243,599,670,-3.8025
599,243,670,-3.8025
241,186,670,14.7205
186,241,670,14.7205
353,179,670,0.933
179,353,670,0.933
644,207,670,17.3475
207,644,670,17.3475
589,179,670,2.845
179,589,670,2.845
641,529,670,-0.7645
529,641,670,-0.7645
217,49,670,0.522
49,217,670,0.522
71,398,670,-1.0705
398,71,670,-1.0705
241,641,670,-0.2475
641,241,670,-0.2475
612,335,670,2.2875
335,612,670,2.2875
71,30,670,-0.726
30,71,670,-0.726
612,666,670,2.067
666,612,670,2.067
217,322,670,1.939
322,217,670,1.939
241,30,670,-2.349
30,241,670,-2.349
644,64,670,-0.549
64,644,670,-0.549
174,218,670,-6.878
218,174,670,-6.878
612,353,670,11.2465
353,612,670,11.2465
644,468,670,24.5625
468,644,670,24.5625
322,71,670,3.7375
71,322,670,3.7375
644,398,670,3.1575
398,644,670,3.1575
64,599,670,3.4545
599,64,670,3.4545
71,218,670,27.9355
218,71,670,27.9355
272,179,670,1.036
179,272,670,1.036
71,599,670,-0.407
599,71,670,-0.407
612,241,670,-3.538
241,612,670,-3.538
644,519,670,23.3665
519,644,670,23.3665
322,272,670,-0.22
272,322,670,-0.22
241,599,670,0.899
599,241,670,0.899
186,529,670,5.052
529,186,670,5.052
353,71,670,-9.02
71,353,670,-9.02
30,590,670,6.5565
590,30,670,6.5565
241,529,670,-1.475
529,241,670,-1.475
322,590,670,-1.564
590,322,670,-1.564
217,243,670,7.7675
243,217,670,7.7675
612,218,670,13.966
218,612,670,13.966
243,186,670,2.8715
186,243,670,2.8715
599,179,670,0.8625
179,599,670,0.8625
589,519,670,0.288
519,589,670,0.288
589,272,670,2.369
272,589,670,2.369
644,217,670,25.219
217,644,670,25.219
30,641,670,3.876
641,30,670,3.876
218,644,670,4.957
644,218,670,4.957
5,322,670,10.3825
322,5,670,10.3825
49,529,670,1.436
529,49,670,1.436
398,641,670,1.1925
641,398,670,1.1925
589,599,670,1.289
599,589,670,1.289
322,599,670,1.069
599,322,670,1.069
335,468,670,-8.362
468,335,670,-8.362
64,641,670,0.687
641,64,670,0.687
644,71,670,12.1075
71,644,670,12.1075
71,529,670,-1.7015
529,71,670,-1.7015
243,30,670,27.4025
30,243,670,27.4025
218,353,670,18.343
353,218,670,18.343
186,71,670,14.987
71,186,670,14.987
644,274,670,1.618
274,644,670,1.618
322,529,670,-2.4405
529,322,670,-2.4405
353,30,670,1.7815
30,353,670,1.7815
612,618,670,13.627
618,612,670,13.627
335,64,670,-1.4395
64,335,670,-1.4395
519,241,670,2.0795
241,519,670,2.0795
647,468,670,8.0985
468,647,670,8.0985
353,398,670,0.163
398,353,670,0.163
49,599,670,0.487
599,49,670,0.487
64,272,670,0.904
272,64,670,0.904
179,618,670,18.9145
618,179,670,18.9145
322,618,670,-5.0925
618,322,670,-5.0925
241,218,670,-5.891
218,241,670,-5.891
612,243,670,45.3945
243,612,670,45.3945
590,274,670,2.34
274,590,670,2.34
186,618,670,13.2935
618,186,670,13.2935
590,529,670,-0.1575
529,590,670,-0.1575
612,64,670,0.945
64,612,670,0.945
589,274,670,-0.0825
274,589,670,-0.0825
353,599,670,-3.121
599,353,670,-3.121
335,243,670,21.4685
243,335,670,21.4685
589,49,670,7.3365
49,589,670,7.3365
335,398,670,0.318
398,335,670,0.318
599,618,670,2.1505
618,599,670,2.1505
272,641,670,1.442
641,272,670,1.442
599,274,670,2.464
274,599,670,2.464
529,468,670,-3.8515
468,529,670,-3.8515
186,641,670,-1.499
641,186,670,-1.499
272,218,670,9.419
218,272,670,9.419
207,618,670,6.0205
618,207,670,6.0205
243,618,670,-6.2665
618,243,670,-6.2665
274,641,670,5.2285
641,274,670,5.2285
335,179,670,-0.0965
179,335,670,-0.0965
590,179,670,-2.416
179,590,670,-2.416
217,599,670,-2.882
599,217,670,-2.882
174,618,670,28.8855
618,174,670,28.8855
612,186,670,18.522
186,612,670,18.522
589,218,670,23.0855
218,589,670,23.0855
243,468,670,14.033
468,243,670,14.033
666,468,670,1.706
468,666,670,1.706
529,618,670,-2.23
618,529,670,-2.23
179,641,670,20.539
641,179,670,20.539
243,272,670,1.0525
272,243,670,1.0525
30,599,670,-0.99
599,30,670,-0.99
353,49,670,0.7935
49,353,670,0.7935
589,618,670,-2.4535
618,589,670,-2.4535
644,599,670,9.3655
599,644,670,9.3655
519,618,670,6.8655
618,519,670,6.8655
30,274,670,2.4965
274,30,670,2.4965
218,618,670,1.85
618,218,670,1.85
217,241,670,-0.5725
241,217,670,-0.5725
274,618,670,11.967
618,274,670,11.967
322,207,670,6.656
207,322,670,6.656
589,468,670,11.089
468,589,670,11.089
207,218,670,36.9735
218,207,670,36.9735
30,272,670,0.156
272,30,670,0.156
335,599,670,-0.251
599,335,670,-0.251
474,218,670,-6.258
218,474,670,-6.258
322,49,670,-0.72
49,322,670,-0.72
64,353,670,-2.52
353,64,670,-2.52
272,618,670,0.504
618,272,670,0.504
207,398,670,1.4735
398,207,670,1.4735
322,241,670,2.72
241,322,670,2.72
207,272,670,5.224
272,207,670,5.224
589,322,670,-0.8125
322,589,670,-0.8125
71,590,670,4.889
590,71,670,4.889
207,49,670,1.3285
49,207,670,1.3285
474,468,670,-2.7745
468,474,670,-2.7745
519,274,670,3.66
274,519,670,3.66
590,241,670,-1.0825
241,590,670,-1.0825
218,49,670,36.4205
49,218,670,36.4205
64,243,670,17.024
243,64,670,17.024
353,529,670,6.2335
529,353,670,6.2335
64,529,670,2.6565
529,64,670,2.6565
621,468,670,29.1755
468,621,670,29.1755
207,30,670,1.3545
30,207,670,1.3545
217,398,670,-1.2295
398,217,670,-1.2295
30,618,670,1.2695
618,30,670,1.2695
217,641,670,0.88
641,217,670,0.88
612,644,670,14.585
644,612,670,14.585
353,207,670,-6.341
207,353,670,-6.341
217,186,670,-7.3235
186,217,670,-7.3235
217,179,670,0.9155
179,217,670,0.9155
71,272,670,3.6685
272,71,670,3.6685
621,218,670,23.6435
218,621,670,23.6435
218,599,670,6.295
599,218,670,6.295
519,641,670,3.393
641,519,670,3.393
589,641,670,0.201
641,589,670,0.201
612,585,670,34.143
585,612,670,34.143
186,590,670,20.168
590,186,670,20.168
217,64,670,8.9415
64,217,670,8.9415
241,398,670,0.108
398,241,670,0.108
71,641,670,2.09
641,71,670,2.09
30,468,670,5.7635
468,30,670,5.7635
335,186,670,12.5115
186,335,670,12.5115
644,272,670,0.114
272,644,670,0.114
322,641,670,7.9135
641,322,670,7.9135
621,618,670,9.6825
618,621,670,9.6825
612,30,670,0.934
30,612,670,0.934
599,529,670,1.3975
529,599,670,1.3975
186,322,670,4.29
322,186,670,4.29
519,468,670,-10.0635
468,519,670,-10.0635
243,207,670,21.243
207,243,670,21.243
335,272,670,-1.923
272,335,670,-1.923
335,529,670,-3.8025
529,335,670,-3.8025
186,398,670,22.0915
398,186,670,22.0915
186,207,670,24.8155
207,186,670,24.8155
64,30,670,-5.9955
30,64,670,-5.9955
218,217,670,15.442
217,218,670,15.442
398,618,670,11.23
618,398,670,11.23
218,274,670,28.4925
274,218,670,28.4925
644,618,670,0.602
618,644,670,0.602
612,529,670,1.174
529,612,670,1.174
327,468,670,2.543
468,327,670,2.543
335,49,670,-0.874
49,335,670,-0.874
335,353,670,0.4735
353,335,670,0.4735
612,322,670,16.1205
322,612,670,16.1205
64,186,670,7.574
186,64,670,7.574
585,468,670,-1.687
468,585,670,-1.687
243,529,670,12.916
529,243,670,12.916
272,468,670,-3.7975
468,272,670,-3.7975
590,599,670,5.5865
599,590,670,5.5865
241,49,670,2.7935
49,241,670,2.7935
327,322,670,50.692
322,327,670,50.692
612,621,670,32.1065
621,612,670,32.1065
335,618,670,-1.359
618,335,670,-1.359
590,468,670,2.819
468,590,670,2.819
353,468,670,8.6535
468,353,670,8.6535
272,186,670,-3.3335
186,272,670,-3.3335
174,322,670,0.281
322,174,670,0.281
590,218,670,7.3305
218,590,670,7.3305
241,618,670,1.3465
618,241,670,1.3465
612,398,670,4.906
398,612,670,4.906
272,398,670,-1.7675
398,272,670,-1.7675
353,618,670,3.086
618,353,670,3.086
217,519,670,-6.1255
519,217,670,-6.1255
71,241,670,10.5005
241,71,670,10.5005
207,590,670,1.936
590,207,670,1.936
241,468,670,14.8905
468,241,670,14.8905
186,468,670,4.66
468,186,670,4.66
612,519,670,17.1865
519,612,670,17.1865
519,599,670,1.892
599,519,670,1.892
174,468,670,-0.606
468,174,670,-0.606
519,179,670,9.5885
179,519,670,9.5885
353,274,670,2.622
274,353,670,2.622
335,207,670,5.0945
207,335,670,5.0945
207,71,670,-1.2175
71,207,670,-1.2175
64,241,670,2.4325
241,64,670,2.4325
599,641,670,4.3225
