drug1,drug2,cell,Synergy_Smean
26.0,0.0,38.0,7.69353
0.0,26.0,38.0,7.69353
26.0,0.0,39.0,7.7780533
0.0,26.0,39.0,7.7780533
26.0,0.0,40.0,-1.1985054
0.0,26.0,40.0,-1.1985054
26.0,0.0,41.0,2.5956845
0.0,26.0,41.0,2.5956845
26.0,0.0,42.0,4.175936
0.0,26.0,42.0,4.175936
26.0,0.0,43.0,-5.089853
0.0,26.0,43.0,-5.089853
26.0,0.0,44.0,1.4986504
0.0,26.0,44.0,1.4986504
26.0,0.0,45.0,9.463281
0.0,26.0,45.0,9.463281
26.0,0.0,46.0,-3.7013547
0.0,26.0,46.0,-3.7013547
26.0,0.0,47.0,10.173434
0.0,26.0,47.0,10.173434
26.0,0.0,48.0,1.6326315
0.0,26.0,48.0,1.6326315
26.0,0.0,49.0,-8.979214
0.0,26.0,49.0,-8.979214
26.0,0.0,50.0,6.89926
0.0,26.0,50.0,6.89926
26.0,0.0,51.0,-1.7930739
0.0,26.0,51.0,-1.7930739
26.0,0.0,52.0,-5.9963703
0.0,26.0,52.0,-5.9963703
26.0,0.0,53.0,7.890257
0.0,26.0,53.0,7.890257
26.0,0.0,54.0,-5.042652
0.0,26.0,54.0,-5.042652
26.0,0.0,55.0,3.698835
0.0,26.0,55.0,3.698835
26.0,0.0,56.0,3.9321485
0.0,26.0,56.0,3.9321485
26.0,0.0,57.0,-10.068848
0.0,26.0,57.0,-10.068848
26.0,0.0,58.0,17.637033
0.0,26.0,58.0,17.637033
26.0,0.0,59.0,5.6864886
0.0,26.0,59.0,5.6864886
26.0,0.0,60.0,-2.6775877
0.0,26.0,60.0,-2.6775877
26.0,0.0,61.0,-2.1732218
0.0,26.0,61.0,-2.1732218
26.0,0.0,62.0,-36.45923
0.0,26.0,62.0,-36.45923
26.0,0.0,63.0,-0.08642458
0.0,26.0,63.0,-0.08642458
26.0,0.0,64.0,5.0771775
0.0,26.0,64.0,5.0771775
26.0,0.0,65.0,0.108107716
0.0,26.0,65.0,0.108107716
26.0,0.0,66.0,-14.5231085
0.0,26.0,66.0,-14.5231085
26.0,0.0,67.0,17.485796
0.0,26.0,67.0,17.485796
26.0,0.0,68.0,-1.5839638
0.0,26.0,68.0,-1.5839638
26.0,0.0,69.0,1.0961027
0.0,26.0,69.0,1.0961027
26.0,1.0,38.0,13.052688
1.0,26.0,38.0,13.052688
26.0,1.0,39.0,11.277273
1.0,26.0,39.0,11.277273
26.0,1.0,40.0,2.7051275
1.0,26.0,40.0,2.7051275
26.0,1.0,41.0,7.494061
1.0,26.0,41.0,7.494061
26.0,1.0,42.0,9.3986845
1.0,26.0,42.0,9.3986845
26.0,1.0,43.0,2.9248207
1.0,26.0,43.0,2.9248207
26.0,1.0,44.0,10.057526
1.0,26.0,44.0,10.057526
26.0,1.0,45.0,13.961271
1.0,26.0,45.0,13.961271
26.0,1.0,46.0,6.065389
1.0,26.0,46.0,6.065389
26.0,1.0,47.0,-2.7122052
1.0,26.0,47.0,-2.7122052
26.0,1.0,48.0,9.970389
1.0,26.0,48.0,9.970389
26.0,1.0,49.0,-4.0015073
1.0,26.0,49.0,-4.0015073
26.0,1.0,50.0,23.381134
1.0,26.0,50.0,23.381134
26.0,1.0,51.0,-32.99062
1.0,26.0,51.0,-32.99062
26.0,1.0,52.0,10.773397
1.0,26.0,52.0,10.773397
26.0,1.0,53.0,4.3178887
1.0,26.0,53.0,4.3178887
26.0,1.0,54.0,-7.115899
1.0,26.0,54.0,-7.115899
26.0,1.0,55.0,2.5787086
1.0,26.0,55.0,2.5787086
26.0,1.0,56.0,33.592926
1.0,26.0,56.0,33.592926
26.0,1.0,57.0,-3.193652
1.0,26.0,57.0,-3.193652
26.0,1.0,58.0,12.233692
1.0,26.0,58.0,12.233692
26.0,1.0,59.0,25.072624
1.0,26.0,59.0,25.072624
26.0,1.0,60.0,19.333202
1.0,26.0,60.0,19.333202
26.0,1.0,61.0,16.722015
1.0,26.0,61.0,16.722015
26.0,1.0,62.0,2.288719
1.0,26.0,62.0,2.288719
26.0,1.0,63.0,33.35326
1.0,26.0,63.0,33.35326
26.0,1.0,64.0,18.744965
1.0,26.0,64.0,18.744965
26.0,1.0,65.0,8.051673
1.0,26.0,65.0,8.051673
26.0,1.0,66.0,2.5778553
1.0,26.0,66.0,2.5778553
26.0,1.0,67.0,10.0383625
1.0,26.0,67.0,10.0383625
26.0,1.0,68.0,11.459351
1.0,26.0,68.0,11.459351
26.0,1.0,69.0,-0.99832755
1.0,26.0,69.0,-0.99832755
26.0,2.0,38.0,13.6791115
2.0,26.0,38.0,13.6791115
26.0,2.0,39.0,3.933224
2.0,26.0,39.0,3.933224
26.0,2.0,40.0,3.2905478
2.0,26.0,40.0,3.2905478
26.0,2.0,41.0,8.842812
2.0,26.0,41.0,8.842812
26.0,2.0,42.0,15.628148
2.0,26.0,42.0,15.628148
26.0,2.0,43.0,9.660318
2.0,26.0,43.0,9.660318
26.0,2.0,44.0,2.477429
2.0,26.0,44.0,2.477429
26.0,2.0,45.0,2.7457843
2.0,26.0,45.0,2.7457843
26.0,2.0,46.0,2.3230898
2.0,26.0,46.0,2.3230898
26.0,2.0,47.0,11.8958025
2.0,26.0,47.0,11.8958025
26.0,2.0,48.0,55.291298
2.0,26.0,48.0,55.291298
26.0,2.0,49.0,0.049724344
2.0,26.0,49.0,0.049724344
26.0,2.0,50.0,18.974293
2.0,26.0,50.0,18.974293
26.0,2.0,51.0,-8.321116
2.0,26.0,51.0,-8.321116
26.0,2.0,52.0,17.638155
2.0,26.0,52.0,17.638155
26.0,2.0,53.0,7.6972733
2.0,26.0,53.0,7.6972733
26.0,2.0,54.0,4.9902196
2.0,26.0,54.0,4.9902196
26.0,2.0,55.0,16.721798
2.0,26.0,55.0,16.721798
26.0,2.0,56.0,16.388056
2.0,26.0,56.0,16.388056
26.0,2.0,57.0,17.54708
2.0,26.0,57.0,17.54708
26.0,2.0,58.0,17.119612
2.0,26.0,58.0,17.119612
26.0,2.0,59.0,21.562387
2.0,26.0,59.0,21.562387
26.0,2.0,60.0,16.936
2.0,26.0,60.0,16.936
26.0,2.0,61.0,12.70595
2.0,26.0,61.0,12.70595
26.0,2.0,62.0,-73.138405
2.0,26.0,62.0,-73.138405
26.0,2.0,63.0,21.267904
2.0,26.0,63.0,21.267904
26.0,2.0,64.0,4.245879
2.0,26.0,64.0,4.245879
26.0,2.0,65.0,12.02859
2.0,26.0,65.0,12.02859
26.0,2.0,66.0,5.5145106
2.0,26.0,66.0,5.5145106
26.0,2.0,67.0,106.007195
2.0,26.0,67.0,106.007195
26.0,2.0,68.0,7.9318776
2.0,26.0,68.0,7.9318776
26.0,2.0,69.0,11.757424
2.0,26.0,69.0,11.757424
26.0,3.0,38.0,-5.2398787
3.0,26.0,38.0,-5.2398787
26.0,3.0,39.0,-18.599127
3.0,26.0,39.0,-18.599127
26.0,3.0,40.0,-2.4053347
3.0,26.0,40.0,-2.4053347
26.0,3.0,41.0,-7.876708
3.0,26.0,41.0,-7.876708
26.0,3.0,42.0,-10.970447
3.0,26.0,42.0,-10.970447
26.0,3.0,43.0,-8.356111
3.0,26.0,43.0,-8.356111
26.0,3.0,44.0,-16.130125
3.0,26.0,44.0,-16.130125
26.0,3.0,45.0,-4.5192695
3.0,26.0,45.0,-4.5192695
26.0,3.0,46.0,-14.569782
3.0,26.0,46.0,-14.569782
26.0,3.0,47.0,-15.951613
3.0,26.0,47.0,-15.951613
26.0,3.0,48.0,-1.8552325
3.0,26.0,48.0,-1.8552325
26.0,3.0,49.0,-6.175982
3.0,26.0,49.0,-6.175982
26.0,3.0,50.0,-2.0255659
3.0,26.0,50.0,-2.0255659
26.0,3.0,51.0,52.48519
3.0,26.0,51.0,52.48519
26.0,3.0,52.0,-15.778706
3.0,26.0,52.0,-15.778706
26.0,3.0,53.0,-16.696266
3.0,26.0,53.0,-16.696266
26.0,3.0,54.0,-9.190965
3.0,26.0,54.0,-9.190965
26.0,3.0,55.0,-24.06755
3.0,26.0,55.0,-24.06755
26.0,3.0,56.0,-7.508625
3.0,26.0,56.0,-7.508625
26.0,3.0,57.0,-9.586167
3.0,26.0,57.0,-9.586167
26.0,3.0,58.0,-9.895037
3.0,26.0,58.0,-9.895037
26.0,3.0,59.0,-20.706167
3.0,26.0,59.0,-20.706167
26.0,3.0,60.0,2.9072006
3.0,26.0,60.0,2.9072006
26.0,3.0,61.0,-10.479414
3.0,26.0,61.0,-10.479414
26.0,3.0,62.0,-172.8887
3.0,26.0,62.0,-172.8887
26.0,3.0,63.0,-11.64273
3.0,26.0,63.0,-11.64273
26.0,3.0,64.0,-4.6048937
3.0,26.0,64.0,-4.6048937
26.0,3.0,65.0,-1.9079669
3.0,26.0,65.0,-1.9079669
26.0,3.0,66.0,-1.3618594
3.0,26.0,66.0,-1.3618594
26.0,3.0,67.0,2.7487912
3.0,26.0,67.0,2.7487912
26.0,3.0,68.0,-17.84185
3.0,26.0,68.0,-17.84185
26.0,3.0,69.0,-7.0535107
3.0,26.0,69.0,-7.0535107
26.0,4.0,38.0,31.125645
4.0,26.0,38.0,31.125645
26.0,4.0,39.0,50.60366
4.0,26.0,39.0,50.60366
26.0,4.0,40.0,2.683689
4.0,26.0,40.0,2.683689
26.0,4.0,41.0,28.348085
4.0,26.0,41.0,28.348085
26.0,4.0,42.0,6.467031
4.0,26.0,42.0,6.467031
26.0,4.0,43.0,3.8423834
4.0,26.0,43.0,3.8423834
26.0,4.0,44.0,17.690195
4.0,26.0,44.0,17.690195
26.0,4.0,45.0,-7.8192716
4.0,26.0,45.0,-7.8192716
26.0,4.0,46.0,-22.973278
4.0,26.0,46.0,-22.973278
26.0,4.0,47.0,17.06698
4.0,26.0,47.0,17.06698
26.0,4.0,48.0,0.24250737
4.0,26.0,48.0,0.24250737
26.0,4.0,49.0,21.385588
4.0,26.0,49.0,21.385588
26.0,4.0,50.0,18.718697
4.0,26.0,50.0,18.718697
26.0,4.0,51.0,17.56299
4.0,26.0,51.0,17.56299
26.0,4.0,52.0,23.23497
4.0,26.0,52.0,23.23497
26.0,4.0,53.0,-31.19472
4.0,26.0,53.0,-31.19472
26.0,4.0,54.0,11.559147
4.0,26.0,54.0,11.559147
26.0,4.0,55.0,42.73505
4.0,26.0,55.0,42.73505
26.0,4.0,56.0,-6.0435038
4.0,26.0,56.0,-6.0435038
26.0,4.0,57.0,0.43303478
4.0,26.0,57.0,0.43303478
26.0,4.0,58.0,57.033146
4.0,26.0,58.0,57.033146
26.0,4.0,59.0,33.908283
4.0,26.0,59.0,33.908283
26.0,4.0,60.0,17.311632
4.0,26.0,60.0,17.311632
26.0,4.0,61.0,19.06355
4.0,26.0,61.0,19.06355
26.0,4.0,62.0,-4.618695
4.0,26.0,62.0,-4.618695
26.0,4.0,63.0,2.9818206
4.0,26.0,63.0,2.9818206
26.0,4.0,64.0,1.304656
4.0,26.0,64.0,1.304656
26.0,4.0,65.0,30.444632
4.0,26.0,65.0,30.444632
26.0,4.0,66.0,15.8773365
4.0,26.0,66.0,15.8773365
26.0,4.0,67.0,18.8656
4.0,26.0,67.0,18.8656
26.0,4.0,68.0,12.1239605
4.0,26.0,68.0,12.1239605
26.0,4.0,69.0,21.455727
4.0,26.0,69.0,21.455727
26.0,5.0,38.0,4.331695
5.0,26.0,38.0,4.331695
26.0,5.0,39.0,-8.161129
5.0,26.0,39.0,-8.161129
26.0,5.0,40.0,-5.415934
5.0,26.0,40.0,-5.415934
26.0,5.0,41.0,-7.7474737
5.0,26.0,41.0,-7.7474737
26.0,5.0,42.0,4.80755
5.0,26.0,42.0,4.80755
26.0,5.0,43.0,0.31210682
5.0,26.0,43.0,0.31210682
26.0,5.0,44.0,3.4071846
5.0,26.0,44.0,3.4071846
26.0,5.0,45.0,2.9189014
5.0,26.0,45.0,2.9189014
26.0,5.0,46.0,-3.4774222
5.0,26.0,46.0,-3.4774222
26.0,5.0,47.0,-2.5394087
5.0,26.0,47.0,-2.5394087
26.0,5.0,48.0,-0.84804446
5.0,26.0,48.0,-0.84804446
26.0,5.0,49.0,-11.87696
5.0,26.0,49.0,-11.87696
26.0,5.0,50.0,5.347534
5.0,26.0,50.0,5.347534
26.0,5.0,51.0,1.1104283
5.0,26.0,51.0,1.1104283
26.0,5.0,52.0,-2.1132236
5.0,26.0,52.0,-2.1132236
26.0,5.0,53.0,1.2187132
5.0,26.0,53.0,1.2187132
26.0,5.0,54.0,-9.533702
5.0,26.0,54.0,-9.533702
26.0,5.0,55.0,-4.3210487
5.0,26.0,55.0,-4.3210487
26.0,5.0,56.0,6.785054
5.0,26.0,56.0,6.785054
26.0,5.0,57.0,-5.9355793
5.0,26.0,57.0,-5.9355793
26.0,5.0,58.0,2.7064693
5.0,26.0,58.0,2.7064693
26.0,5.0,59.0,-5.7328653
5.0,26.0,59.0,-5.7328653
